Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Argentina,ARG,2024,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2810026344.92749
Argentina,ARG,2023,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2449008627.67192
Argentina,ARG,2022,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2714649019.39471
Argentina,ARG,2021,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2360129098.60715
Argentina,ARG,2020,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1992576764.01141
Argentina,ARG,2019,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2090386135.03163
Argentina,ARG,2018,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2240249776.80126
Argentina,ARG,2017,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2227687569.82783
Argentina,ARG,2016,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1634172700.71085
Argentina,ARG,2015,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1473496949.61781
Argentina,ARG,2014,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1443464924.46564
Argentina,ARG,2013,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1730267633.66817
Argentina,ARG,2012,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1754217566.81462
Argentina,ARG,2011,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1800882627.12602
Argentina,ARG,2010,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1410136164.45972
Argentina,ARG,2009,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1187835367.53885
Argentina,ARG,2008,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1103562433.90219
Argentina,ARG,2007,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,806872701.809068
Argentina,ARG,2006,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,563434578.863044
Argentina,ARG,2005,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,407860000
Argentina,ARG,2004,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,317530000
Argentina,ARG,2003,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,287490000
Argentina,ARG,2002,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,242790000
Argentina,ARG,2001,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,318912378.199248
Argentina,ARG,2000,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,286006166.793532
Argentina,ARG,1999,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,245626704.275248
Argentina,ARG,1998,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,259285752.455922
