Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Argentina,ARG,2024,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.27236452985161
Argentina,ARG,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.98026711969411
Argentina,ARG,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.63382122630386
Argentina,ARG,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.70186015289081
Argentina,ARG,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.57881723836851
Argentina,ARG,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.69350188556499
Argentina,ARG,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.54917919813126
Argentina,ARG,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.32474311903039
Argentina,ARG,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.33166323200961
Argentina,ARG,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.4211194841195
Argentina,ARG,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.97242272666435
Argentina,ARG,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.92159618620856
Argentina,ARG,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.96931835780133
Argentina,ARG,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.06355901253367
Argentina,ARG,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.4768884024554
Argentina,ARG,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.93180305694933
Argentina,ARG,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.934055005559
Argentina,ARG,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.32894576338543
Argentina,ARG,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.13157161999355
Argentina,ARG,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.02181442228367
Argentina,ARG,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.09409499310412
Argentina,ARG,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.81891734473324
Argentina,ARG,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.47726212553586
Argentina,ARG,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.84780538283328
Argentina,ARG,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.95398955911897
Argentina,ARG,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.76483230820728
Argentina,ARG,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.72118070582919
Argentina,ARG,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.62371249650554
Argentina,ARG,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.52661033446145
Argentina,ARG,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.28063600700301
Argentina,ARG,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.05546923555003
Argentina,ARG,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.9564045565041
Argentina,ARG,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.7125361462215
Argentina,ARG,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.38129903643769
Argentina,ARG,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.93766924813715
Argentina,ARG,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.50661313914848
Argentina,ARG,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.71738613154514
Argentina,ARG,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.00695205073367
Argentina,ARG,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.86975364663148
Argentina,ARG,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.35389809990575
Argentina,ARG,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.25022307351945
Argentina,ARG,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.53821081369546
Argentina,ARG,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.26059432533735
Argentina,ARG,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.54576346112915
Argentina,ARG,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.35948339734322
Argentina,ARG,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.0402300735919
Argentina,ARG,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.95453807828591
Argentina,ARG,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.37789048552415
Argentina,ARG,1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,2.84544504649875
Argentina,ARG,2024,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.61354206310847
Argentina,ARG,2023,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.67953284412435
Argentina,ARG,2022,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.16868407234583
Argentina,ARG,2021,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.28701985645969
Argentina,ARG,2020,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.27386403663702
Argentina,ARG,2019,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.9964849040671
Argentina,ARG,2018,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.33659250294846
Argentina,ARG,2017,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.59383898078014
Argentina,ARG,2016,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.93137671375821
Argentina,ARG,2015,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.00748823437601
Argentina,ARG,2014,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.44932773340335
Argentina,ARG,2013,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.21912400161077
Argentina,ARG,2012,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.52023853376464
Argentina,ARG,2011,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.98273244262533
Argentina,ARG,2010,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.947366553916
Argentina,ARG,2009,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.58423186873795
Argentina,ARG,2008,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.32917013470432
Argentina,ARG,2007,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.46343658001381
Argentina,ARG,2006,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,3.532032605101
Argentina,ARG,2005,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.85736218618654
Argentina,ARG,2004,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.04419780914973
Argentina,ARG,2003,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.69079532262075
Argentina,ARG,2002,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.09184806295897
Argentina,ARG,2001,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.78564196076834
Argentina,ARG,2000,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.02409498802739
Argentina,ARG,1999,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.23075506033354
Argentina,ARG,1998,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.38384149360512
Argentina,ARG,1997,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.85392860158049
Argentina,ARG,1996,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,5.86958962453884
Argentina,ARG,1995,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,6.87614095259169
Argentina,ARG,1994,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.06670978991478
Argentina,ARG,1993,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.03285563385833
Argentina,ARG,1992,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,1.65619852661683
Argentina,ARG,2024,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.39750944683483
Argentina,ARG,2023,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.41230813564913
Argentina,ARG,2022,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.67652264077487
Argentina,ARG,2021,"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,1.94114913303256
